parshuramappa	p ɑː ʃ ʊ ɹ ə m a p ə
kishantan	c ɪ ʃ ɑː n ʈ a n
shivanna	ʃ ɪ ʋ a n ə
thakshni	t̪ a c ʃ ɲ i
navapushpatmaka	n a ʋ ə p ʊ ʃ p a m ɑ k ə
kyrese	k aj ɹ iː z
bhrajishnu	b ɹ ə dʒ ɪ ʃ n ʉ
shaktibijatmika	ʃ ɑ k ʈʲ i b aj dʒ a ʈ mʲ iː k ə
mariangel	m a ɹ i a n dʒ ə l
joyate	dʒ ɔj ə ʈ
inthinaiyarasi	ɪ n t̪ aj n aj j ə ɹ ɑː s i
martanda	m ɑː ʈ a n ɖ ə
devadarshan	ɖ ɛ ʋ ə ɖ ə ʃ ɑː n
jeyamanikandan	dʒ ɛ j ɑː m ə ɲ ɪ k a n ɖ ə n
jeeveha	dʒ i ʋ ə
shrikaralaksh	ʃ ɹ ɪ k ə ɹ ə l ə c ʃ
sunil	s ʊ ɲ ə l
sammad	s ə m a ɖ
jayahari	dʒ eː ə h ɑː ɹ i
nirbhara	ɲ ɪ ə b ɑː ɹ ə
vyomamurt	ʋ i ɒ m ə m ɜː ʈ
vyakritaye	ʋ ɑː k ɹ i ʈ eː
zyhir	z aj ç ɪ ə
carnell	k ɑː n ɛ l
rudri	ɹ ʉː ɖ ɹ i
vamshitha	ʋ a m ʃ ɪ t̪ ə
albee	ɒː l bʲ iː
chitradeep	k aj ʈ ɹ a ɖ iː p
darell	ɖ a ɹ ɛ l
mayanirvartaka	m eː ə ɲ ɪ ə ʋ ɑː ʈ ə k ə
rebelle	ɹ ə b ɛ l
shakshi	ʃ ɑː c ʃ iː
mayuranathan	m eː ʊ ɹ a n ə t̪ ə n
indumati	ɪ n ɖ ʉː m ɑː ʈʲ i
achhelal	ə c h ɛ l ə l
shantikan	ʃ a n ʈʲ ɪ k ə n
sadu	s a ɖ ʉː
keirsten	c iː s ʈ ə n
sindhushayine	s aj n ɖ h ʉː ʃ ɑː j iː n
ashlinn	a ʃ ʎ ɪ n
nivethan	ɲ ɪ ʋ i t̪ ə n
vrujal	ʋ ɹ ɪ ʊ dʒ ə l
kaveera	k ə ʋ ɹ ə
mahasina	m ə h ɑː s i n ə
rhilynn	ɹ aj ʎ ɪ n
baalahi	b a ɑ l ɑ ç i
nazeer	ɲ eː z ə ɾ
nalineshay	n ə ʎ ɪ n ʃ i
raagavy	ɹ ɑː ɡ ə ʋ i
benjamin	b ɛ n dʒ ə mʲ ɪ n
dipun	ɖ ɪ p ə n
raehitha	ɹ iː ç ɪ t̪ ə
kaleece	k a l iː s
krittikantastha	c ɹ iː ʈʲ ɪ k ə n ʈ ə s t̪ ə
mandagataye	m ə n ɖ ə ɡ eː ʈ eː
taylynn	ʈ eː l ɪ n
shaipranav	ʃ eː ɪ p ɹ ə n a ʋ
mathur	m a t̪ ə
katalina	k a ʈ ə ʎ iː n ə
ramdhan	ɹ a m ɖ h ə n
eilon	ɪ aj l ə n
vedan	ʋ ɪ ɖ a n
sukhveer	s ʉː k ʋ ɪ ə
mantrakaraka	m a n ʈ ɹ ə k ɑː ɹ ə k ə
elchonon	ɛ l k ɒ n ɒ n
aambaram	eː eː m b ə ɹ ə m
sasahayin	s ə s eː ç ɪ n
sahnabaj	s ɑ n ə b a dʒ
pravith	p ɹ a ʋ ɪ t̪
yukta	j ʉː k ʈ ə
sandhra	s a n ɹ ə
hamish	ç eː mʲ ɪ ʃ
jaaswin	dʒ a ə s ʋ ɪ n
vaseeni	ʋ a s iː ɲ i
dhurta	ɖ h ɜː ʈ ə
govindaraji	ɡ oː ʋ ɪ n ɖ ə ɹ ɑː dʒ i
rushara	ɹ ə ʃ ɑː ɹ ə
neeladree	ɲ iː l ə ɖ ɹ iː
neelasree	n ɛ ə l ʒ ə ɹ iː
kushala	k ʊ ʃ ɑː l ə
romana	ɹ oː m eː n ə
shobina	ʃ oː b aj n ə
audel	ɒː ɖ ə l
shithrubanan	ʃ ɪ t̪ ɹ ə b ə n ɑː n
kobanan	k oː b ə n ɑː n
nivek	ɲ ɪ ʋ i k
piraiyaalini	p aj ɹ aj ə ə ʎ iː ɲ i
rakini	ɹ eː c ɪ ɲ i
premavathi	p ɹ ɛ m ə ʋ a t̪ i
